EventCode,NTSyslogID,action
466,F466,failure
467,S467,success
467,F467,failure
468,S468,success
468,F468,failure
469,S469,success
469,F469,failure
470,S470,success
470,F470,failure
471,S471,success
471,F471,failure
472,S472,success
472,F472,failure
473,S473,success
473,F473,failure
474,S474,success
474,F474,failure
475,S475,success
475,F475,failure
476,S476,success
476,F476,failure
477,S477,success
477,F477,failure
478,S478,success
478,F478,failure
479,S479,success
479,F479,failure
480,S480,success
480,F480,failure
481,S481,success
481,F481,failure
482,S482,success
482,F482,failure
483,S483,success
483,F483,failure
484,S484,success
484,F484,failure
485,S485,success
485,F485,failure
486,S486,success
486,F486,failure
487,S487,success
487,F487,failure
488,S488,success
488,F488,failure
489,S489,success
489,F489,failure
490,S490,success
490,F490,failure
491,S491,success
491,F491,failure
492,S492,success
492,F492,failure
493,S493,success
493,F493,failure
494,S494,success
494,F494,failure
495,S495,success
495,F495,failure
496,S496,success
496,F496,failure
497,S497,success
497,F497,failure
498,S498,success
498,F498,failure
499,S499,success
499,F499,failure
500,S500,success
500,F500,failure
501,S501,success
501,F501,failure
502,S502,success
502,F502,failure
503,S503,success
503,F503,failure
504,S504,success
504,F504,failure
505,S505,success
505,F505,failure
506,S506,success
506,F506,failure
507,S507,success
507,F507,failure
508,S508,success
508,F508,failure
509,S509,success
509,F509,failure
510,S510,success
510,F510,failure
511,S511,success
511,F511,failure
512,S512,success
512,F512,failure
513,S513,success
513,F513,failure
514,S514,success
514,F514,failure
515,S515,success
515,F515,failure
516,S516,success
516,F516,failure
517,S517,success
517,F517,failure
518,S518,success
518,F518,failure
519,S519,success
519,F519,failure
520,S520,success
520,F520,failure
521,S521,success
521,F521,failure
522,S522,success
522,F522,failure
523,S523,success
523,F523,failure
524,S524,success
524,F524,failure
525,S525,success
525,F525,failure
526,S526,success
526,F526,failure
527,S527,success
527,F527,failure
528,S528,success
528,F528,failure
529,S529,success
529,F529,failure
530,S530,success
530,F530,failure
531,S531,success
531,F531,failure
532,S532,success
532,F532,failure
533,S533,success
533,F533,failure
534,S534,success
534,F534,failure
535,S535,success
535,F535,failure
536,S536,success
536,F536,failure
537,S537,success
537,F537,failure
538,S538,success
538,F538,failure
539,S539,success
539,F539,failure
540,S540,success
540,F540,failure
541,S541,success
541,F541,failure
542,S542,success
542,F542,failure
543,S543,success
543,F543,failure
544,S544,success
544,F544,failure
545,S545,success
545,F545,failure
546,S546,success
546,F546,failure
547,S547,success
547,F547,failure
548,S548,success
548,F548,failure
549,S549,success
549,F549,failure
550,S550,success
550,F550,failure
551,S551,success
551,F551,failure
552,S552,success
552,F552,failure
553,S553,success
553,F553,failure
554,S554,success
554,F554,failure
555,S555,success
555,F555,failure
556,S556,success
556,F556,failure
557,S557,success
557,F557,failure
558,S558,success
558,F558,failure
559,S559,success
559,F559,failure
560,S560,success
560,F560,failure
561,S561,success
561,F561,failure
562,S562,success
562,F562,failure
563,S563,success
563,F563,failure
564,S564,success
564,F564,failure
565,S565,success
565,F565,failure
566,S566,success
566,F566,failure
567,S567,success
567,F567,failure
568,S568,success
568,F568,failure
569,S569,success
569,F569,failure
570,S570,success
570,F570,failure
571,S571,success
571,F571,failure
572,S572,success
572,F572,failure
573,S573,success
573,F573,failure
574,S574,success
574,F574,failure
575,S575,success
575,F575,failure
576,S576,success
576,F576,failure
577,S577,success
577,F577,failure
578,S578,success
578,F578,failure
579,S579,success
579,F579,failure
580,S580,success
580,F580,failure
581,S581,success
581,F581,failure
582,S582,success
582,F582,failure
583,S583,success
583,F583,failure
584,S584,success
584,F584,failure
585,S585,success
585,F585,failure
586,S586,success
586,F586,failure
587,S587,success
587,F587,failure
588,S588,success
588,F588,failure
589,S589,success
589,F589,failure
590,S590,success
590,F590,failure
591,S591,success
591,F591,failure
592,S592,success
592,F592,failure
593,S593,success
593,F593,failure
594,S594,success
594,F594,failure
595,S595,success
595,F595,failure
596,S596,success
596,F596,failure
597,S597,success
597,F597,failure
598,S598,success
598,F598,failure
599,S599,success
599,F599,failure
600,S600,success
600,F600,failure
601,S601,success
601,F601,failure
602,S602,success
602,F602,failure
603,S603,success
603,F603,failure
604,S604,success
604,F604,failure
605,S605,success
605,F605,failure
606,S606,success
606,F606,failure
607,S607,success
607,F607,failure
608,S608,success
608,F608,failure
609,S609,success
609,F609,failure
610,S610,success
610,F610,failure
611,S611,success
611,F611,failure
612,S612,success
612,F612,failure
613,S613,success
613,F613,failure
614,S614,success
614,F614,failure
615,S615,success
615,F615,failure
616,S616,success
616,F616,failure
617,S617,success
617,F617,failure
618,S618,success
618,F618,failure
619,S619,success
619,F619,failure
620,S620,success
620,F620,failure
621,S621,success
621,F621,failure
622,S622,success
622,F622,failure
623,S623,success
623,F623,failure
624,S624,success
624,F624,failure
625,S625,success
625,F625,failure
626,S626,success
626,F626,failure
627,S627,success
627,F627,failure
628,S628,success
628,F628,failure
629,S629,success
629,F629,failure
630,S630,success
630,F630,failure
631,S631,success
631,F631,failure
632,S632,success
632,F632,failure
633,S633,success
633,F633,failure
634,S634,success
634,F634,failure
635,S635,success
635,F635,failure
636,S636,success
636,F636,failure
637,S637,success
637,F637,failure
638,S638,success
638,F638,failure
639,S639,success
639,F639,failure
640,S640,success
640,F640,failure
641,S641,success
641,F641,failure
642,S642,success
642,F642,failure
643,S643,success
643,F643,failure
644,S644,success
644,F644,failure
645,S645,success
645,F645,failure
646,S646,success
646,F646,failure
647,S647,success
647,F647,failure
648,S648,success
648,F648,failure
649,S649,success
649,F649,failure
650,S650,success
650,F650,failure
651,S651,success
651,F651,failure
652,S652,success
652,F652,failure
653,S653,success
653,F653,failure
654,S654,success
654,F654,failure
655,S655,success
655,F655,failure
656,S656,success
656,F656,failure
657,S657,success
657,F657,failure
658,S658,success
658,F658,failure
659,S659,success
659,F659,failure
660,S660,success
660,F660,failure
661,S661,success
661,F661,failure
662,S662,success
662,F662,failure
663,S663,success
663,F663,failure
664,S664,success
664,F664,failure
665,S665,success
665,F665,failure
666,S666,success
666,F666,failure
667,S667,success
667,F667,failure
668,S668,success
668,F668,failure
669,S669,success
669,F669,failure
670,S670,success
670,F670,failure
671,S671,success
671,F671,failure
672,S672,success
672,F672,failure
673,S673,success
673,F673,failure
674,S674,success
674,F674,failure
675,S675,success
675,F675,failure
676,S676,success
676,F676,failure
677,S677,success
677,F677,failure
678,S678,success
678,F678,failure
679,S679,success
679,F679,failure
680,S680,success
680,F680,failure
681,S681,success
681,F681,failure
682,S682,success
682,F682,failure
683,S683,success
683,F683,failure
684,S684,success
684,F684,failure
685,S685,success
685,F685,failure
686,S686,success
686,F686,failure
687,S687,success
687,F687,failure
688,S688,success
688,F688,failure
689,S689,success
689,F689,failure
690,S690,success
690,F690,failure
691,S691,success
691,F691,failure
