confidence,dateAdded,id,ip,lastModified,ownerName,rating,webLink
100,2014-06-10T18:59:41Z,212214,85.195.82.53,2014-06-10T18:59:41Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=85.195.82.53&owner=Common+Community
100,2014-06-10T18:59:41Z,212219,50.7.11.10,2014-06-10T18:59:41Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=50.7.11.10&owner=Common+Community
100,2014-06-07T17:47:42Z,211455,87.117.232.20,2014-06-07T17:47:42Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=87.117.232.20&owner=Common+Community
100,2014-06-07T17:47:34Z,211392,184.22.201.27,2014-06-07T17:47:34Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=184.22.201.27&owner=Common+Community
100,2014-06-07T17:47:34Z,211426,192.95.21.44,2014-06-07T17:47:34Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=192.95.21.44&owner=Common+Community
100,2014-05-22T00:54:20Z,206230,50.100.208.136,2014-05-22T00:55:11Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=50.100.208.136&owner=Common+Community
100,2014-05-22T00:31:56Z,206223,115.126.143.176,2014-05-22T00:32:11Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=115.126.143.176&owner=Common+Community
100,2014-05-22T00:27:46Z,206222,192.186.218.5,2014-05-22T00:28:59Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=192.186.218.5&owner=Common+Community
100,2014-05-22T00:19:18Z,206217,103.31.186.40,2014-05-22T00:19:24Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=103.31.186.40&owner=Common+Community
100,2014-05-22T00:11:40Z,206213,103.31.186.55,2014-05-22T00:11:44Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=103.31.186.55&owner=Common+Community
100,2014-05-22T00:08:41Z,206212,103.31.186.29,2014-05-22T00:08:48Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=103.31.186.29&owner=Common+Community
100,2014-05-21T23:29:09Z,206210,110.179.86.41,2014-05-21T23:44:49Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=110.179.86.41&owner=Common+Community
